time,length,cover,avg_distance
0,397.62075833119457,2443.75,198.42631520339202
1,432.3481099455648,2551.75,204.94272057495166
2,450.3481099455647,2658.75,213.18343180222462
3,492.05749463120594,2814.25,221.71801666918498
4,509.5034971791106,2898.25,225.1767659599509
5,539.9031629270959,3063.75,236.24047996580902
6,618.8622235859011,3320.0,249.5377898396472
7,670.5516466262758,3613.25,259.9448170181612
8,706.5554862214478,3827.25,268.17819412972193
9,759.061678248281,4121.25,279.36183906698096
10,806.1967474000899,4395.25,290.8175040621237
11,861.6596269620306,4713.25,300.92746033736915
12,934.3553023516811,5110.0,314.93252213213174
13,1002.7009956109861,5499.75,327.9905749659705
14,1066.0770528734247,5875.5,339.59408645731617
15,1138.0150652061973,6252.75,351.2082969914626
16,1201.0061247399206,6620.5,361.5543115261277
17,1280.9562919545044,7071.5,373.594594588027
18,1365.5973144715163,7569.5,385.0109552006448
19,1447.6975821015324,8008.25,395.61674683891385
20,1522.465066511248,8413.75,406.6292474552073
21,1616.378594265438,8973.25,417.7405882637193
22,1724.0480820235975,9556.25,428.9028397206481
23,1818.4945102308316,10116.5,439.76896171270675
24,1916.2112925083466,10692.75,449.65476369045524
25,2041.5344502995642,11453.25,461.70958004078113
26,2176.348417781358,12260.75,471.93980199781737
27,2279.94527444066,12875.25,474.19999408706326
28,2396.4861149120375,13565.25,477.24153600734155
