time,length,cover,avg_distance
0,459.58668489429664,2777.5,231.04829583219893
1,569.8184340603653,3308.5,224.30874469141324
2,590.3052670408705,3427.5,231.73845607981178
3,635.5843133933912,3620.0,241.94034545841174
4,676.2204957527238,3809.5,249.20139565681714
5,707.4827263881,3990.5,257.90078828507336
6,760.071505533395,4247.25,269.90548777425687
7,812.1387294700937,4555.0,281.6901608190349
8,862.4749232686638,4838.0,291.6884920174636
9,929.4950677914588,5199.25,305.05350732538164
10,1002.4474031209793,5600.5,317.03834541257476
11,1101.486068966714,6079.0,327.71259092894013
12,1208.3038885502403,6653.75,343.79641001011856
13,1315.6838684702593,7239.0,354.9598529109753
14,1424.431870155484,7843.75,367.1337157462492
15,1534.1059117346138,8425.0,376.3652422310083
16,1637.331714203397,8976.25,387.5340736251505
17,1772.7291776014672,9702.75,400.1753453112272
18,1904.4780794879343,10427.75,413.72914955855794
19,2039.7897162599938,11185.0,425.06779260174847
20,2184.3208980458185,11965.0,436.8022305125847
21,2340.5360577094216,12859.0,448.80940284426464
22,2496.072646779628,13772.0,461.6455578826286
23,2651.1937634835754,14682.75,473.4975137569409
24,2771.3462377254677,15382.5,481.16647959960216
25,2895.757384687913,16102.0,485.2744413511314
26,3006.5821213105546,16756.0,490.44414205846994
27,3119.6398622556458,17420.5,495.70842649817763
28,3227.120880628853,18058.25,501.3244007125686
