time,length,cover,avg_distance
0,726.6832006551831,4341.0,366.7497477659699
1,1276.7115606538232,6528.25,318.6823867630257
2,1360.1091304640486,6844.0,328.98381901477603
3,1444.8685198707008,7199.75,339.46526277237035
4,1527.6949226452048,7434.75,348.07740473429084
5,1634.7936989758346,7812.25,361.96524893639287
6,1732.9355224139204,8223.0,374.81712774401956
7,1843.050161351163,8742.5,387.50353347502516
8,1912.8248065233795,9116.25,398.7268279558354
9,2061.7366228373257,9659.75,409.9963612805621
10,2195.496772020576,10259.75,424.6361023526045
11,2377.046398224894,11034.5,439.6409109063458
12,2559.52813024025,11947.5,459.23897308109053
13,2727.019562231224,12804.5,475.15327359572956
14,2916.3729618097527,13696.0,489.7663522827625
15,3099.5399201594055,14596.25,504.4354260718854
16,3239.8471944617213,15248.5,510.95162118602275
17,3412.7302132155114,16034.0,518.6686523065354
18,3568.630173834639,16801.0,524.2422718413166
19,3699.8402003413867,17493.0,530.3790471502089
20,3826.938538285507,18161.5,536.9417878971631
21,4000.0238349295237,19060.25,547.282745781415
22,4183.255971559551,20002.0,558.396395041984
23,4357.99508390784,20921.75,569.0480862478131
24,4520.10725392102,21738.5,578.8204139678301
25,4728.790419998568,22857.0,593.513379433405
26,4935.919283860518,23996.25,608.9636605048289
27,5133.98361152249,25022.75,621.4288362378912
28,5338.3588142224435,26138.0,635.3421391030895
