time,length,cover,avg_distance
0,503.70958614524136,3058.0,251.02171321586405
1,1290.8912858818333,6033.5,264.3761811779154
2,1379.3292216516732,6464.25,266.95861383603
3,1513.8852081998034,6974.25,272.1383460703187
4,1585.0357751460476,7347.0,275.5090598090905
5,1662.8098534055307,7703.5,278.4999165286702
6,1746.2472424256373,8155.25,282.3513360103744
7,1828.6316246344834,8559.0,286.5399390817915
8,1893.8837491339036,8910.5,290.0511287184892
9,1954.3330757961908,9220.0,293.46387642920337
10,2017.573244503943,9552.25,297.73653646292917
11,2094.491011653775,9933.75,303.4055164896743
12,2172.6412308409217,10303.75,308.90213635243776
13,2227.642814499429,10530.0,313.50870276437394
14,2274.367482969536,10767.25,317.6714780484967
15,2331.6445611428267,11004.75,322.1644697020648
16,2374.3845194385326,11142.5,324.96469134135117
17,2418.5381796966185,11334.5,329.4978883021765
18,2463.092812780541,11564.0,334.8538982241899
19,2495.4601249632888,11708.25,338.25292495888823
20,2529.5545268126425,11891.25,342.84390962074156
21,2558.881987094438,12055.25,347.14461599316445
22,2592.3688784463293,12255.25,351.18210709037726
23,2624.694981388495,12437.25,354.9273917432068
24,2648.4532766899556,12569.0,357.2055566471154
25,2682.980196843041,12770.0,362.9109437615037
26,2707.5686423229845,12917.25,367.3917889013604
27,2736.7524370512256,13073.75,372.43580294440375
28,2762.3002285938137,13201.5,374.6390354513794
