time,length,cover,avg_distance
0,456.38070757894496,2713.75,228.9598593387701
1,533.939877362302,3142.5,222.17561317489537
2,580.4896538387866,3408.75,232.34944323030172
3,620.5239292865947,3654.5,242.91289624889305
4,653.8090503570961,3854.25,251.39366447727502
5,688.5949415200593,4061.0,261.66364216329174
6,759.5312389685114,4363.0,274.88924277951713
7,821.9309589698524,4698.25,288.4431855162276
8,880.2910314414999,5037.0,302.2896765812419
9,926.0274886439541,5287.0,312.34719558321933
10,984.2498475880799,5624.75,325.53644824778274
11,1055.0742344028909,5997.5,340.3029546205533
12,1145.948308561484,6491.75,358.35626112532805
13,1222.6274171506434,6891.25,373.30213789988426
14,1282.6139205767086,7217.25,383.83409012218397
15,1363.1287317832596,7630.25,395.9832522415524
16,1423.594771733447,7980.0,409.73126397652027
17,1492.2865670645724,8366.0,423.98695942762373
18,1557.700884773254,8748.25,438.4656844195539
19,1624.2308603607116,9113.0,452.9324359447859
20,1677.3171104094308,9426.0,464.5615281445562
21,1728.035395227174,9693.75,472.78242476881485
22,1761.247050965797,9857.25,473.01225641851
23,1780.2662157001,9960.25,472.3362194042458
24,1809.4119725908413,10099.5,473.5682308991962
25,1835.9723829109098,10221.75,474.6624808550383
26,1854.4063483555003,10309.25,475.44886542283587
27,1869.0926479440723,10397.75,476.07078682046813
28,1902.6970180534508,10548.5,477.72958820120186
